"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"District of Columbia","DC","Washington",104,2479,0.00202101859337106,-0.00161095449053564,-0.00120870265914585,138464
2014-11-30,"Denver","CO","Denver",105,1773,0.0114090131203651,0.0248554913294798,0.108125,185305
2014-11-30,"Fort Bend","TX","Houston",106,1835,0.00547945205479452,0.0188784008883953,0.0437997724687144,175359
2014-11-30,"Ocean","NJ","New York",107,1731,-0.0147979510529311,-0.0175936435868331,-0.02313769751693,238463
2014-11-30,"Arapahoe","CO","Denver",108,1722,0.0123456790123457,0.0367248645394341,0.0803011292346299,172141
2014-11-30,"Delaware","PA","Philadelphia",109,1507,0.00466666666666667,0.0120886501007388,0.0436288088642659,179062
2014-11-30,"Bristol","MA","Providence",110,1544,0.0124590163934426,0.0383322125084062,0.00717547292889759,129179
2014-11-30,"Johnson","KS","Kansas City",111,1689,0.0107719928186715,0.0144144144144144,0.0242571255306246,156939
2014-11-30,"Brevard","FL","Melbourne",112,1193,0.00675105485232068,0.0222793487574979,0.0595026642984014,209995
2014-11-30,"Summit","OH","Akron",113,1038,-0.0104861773117255,-0.00288184438040346,0.04321608040201,184199
2014-11-30,"New Castle","DE","Philadelphia",114,1428,0.000700770847932726,0.00776287932251235,0.0355329949238579,155296
2014-11-30,"Anne Arundel","MD","Baltimore",115,1955,-0.00811770674784373,-0.00811770674784373,0.0166406656266251,189421
2014-11-30,"Union","NJ","New York",116,1918,-0.00878552971576227,0.00261369576581286,0.0679287305122494,129534
2014-11-30,"Montgomery","OH","Dayton",117,847,0.0107398568019093,0.0192539109506619,-0.0128205128205128,179050
2014-11-30,"Jefferson","CO","Denver",118,1815,0.0208098987626547,0.0377358490566038,0.121755253399258,183480
2014-11-30,"Washington","OR","Portland",119,1622,0.00933416303671437,0.0304955527318933,0.0615183246073298,143233
2014-11-30,"Lancaster","PA","Lancaster",120,1110,-0.00269541778975741,0.0109289617486339,0.0383536014967259,134827
2014-11-30,"Douglas","NE","Omaha",121,1259,0.00238853503184713,0.00238853503184713,0.0227457351746548,303913
2014-11-30,"Utah","UT","Provo",122,1333,0.00452147701582517,0.0113808801213961,-0.0492154065620542,123300
2014-11-30,"Kane","IL","Chicago",123,1671,-0.0112426035502959,-0.0112426035502959,0.0276752767527675,144902
2014-11-30,"Stanislaus","CA","Modesto",124,1206,0.005,0.0125944584382872,0.0396551724137931,120505
2014-11-30,"Camden","NJ","Philadelphia",125,1497,-0.0112285336856011,-0.0112285336856011,0.0617021276595745,158630
2014-11-30,"Ramsey","MN","Minneapolis-St Paul",126,1420,-0.00907187718073971,-0.0125173852573018,0.0135617416131335,134802
2014-11-30,"Passaic","NJ","New York",127,1767,-0.0199667221297837,-0.0139508928571429,0.0437093916125222,108551
2014-11-30,"Chester","PA","Philadelphia",128,2015,0.00599101347978033,0.0140915953699044,0.0312180143295803,149787
2014-11-30,"Sedgwick","KS","Wichita",129,1075,0.00938967136150235,0.0151085930122757,0.00844277673545966,146953
2014-11-30,"Lake","IN","Chicago",130,1202,0.00417710944026733,0.0067001675041876,0.0789946140035907,186859
2014-11-30,"Plymouth","MA","Boston",131,1738,0.0046242774566474,0.0175644028103044,0.0308422301304864,150990
2014-11-30,"Volusia","FL","Daytona Beach",132,1199,0.000834724540901503,0.00925925925925926,0.0389948006932409,185753
2014-11-30,"Morris","NJ","New York",133,2476,-0.00402252614641995,-0.0217305412880284,0.0218737102765167,138091
2014-11-30,"Guilford","NC","Greensboro",134,969,-0.00205973223480947,-0.0142421159715158,0.0125391849529781,180027
2014-11-30,"Dane","WI","Madison",135,1414,-0.00562587904360056,0.00141643059490085,0.0560119492158327,156335
2014-11-30,"Sonoma","CA","Santa Rosa",136,2227,0.00225022502250225,0.0182898948331047,0.134488028527764,130193
2014-11-30,"Spokane","WA","Spokane",137,1145,-0.0052128583840139,0.0043859649122807,0.0956937799043062,134247
2014-11-30,"Richmond","NY","New York",138,2163,0.00464468183929401,0.0404040404040404,0.0290199809705043,86162
2014-11-30,"Onondaga","NY","Syracuse",139,1353,0.00148038490007402,0.0399692544196772,0.0529182879377432,126864
2014-11-30,"Pasco","FL","Tampa",140,1157,0.0052128583840139,0.000865051903114187,-0.0277310924369748,173832
2014-11-30,"Hampden","MA","Springfield",141,1392,0.00143884892086331,0.0334075723830735,0.12258064516129,112360
2014-11-30,"Montgomery","TX","Houston",142,1727,0.00465386852821408,0.00876168224299065,0.0322773460848775,123389
2014-11-30,"Greenville","SC","Greenville",143,1269,-0.013986013986014,-0.0185614849187935,0.0427280197206245,138653
2014-11-30,"Burlington","NJ","Philadelphia",144,1669,-0.00654761904761905,-0.0141760189013585,-0.00654761904761905,142724
2014-11-30,"Tulare","CA","Visalia",145,1115,-0.00268336314847943,0.00541027953110911,0.0145586897179254,103047
2014-11-30,"Lucas","OH","Toledo",146,831,-0.00120192307692308,-0.0107142857142857,0.0479192938209332,139141
2014-11-30,"Adams","CO","Denver",147,1577,0.00960307298335467,0.0340983606557377,0.099721059972106,115276
2014-11-30,"East Baton Rouge","LA","Baton Rouge",148,1310,-0.0281899109792285,-0.0616045845272206,0.0650406504065041,143380
2014-11-30,"Virginia Beach City","VA","Virginia Beach",149,1558,0.00321957501609787,0.00841423948220065,0.0189666448659254,141099
2014-11-30,"York","PA","York",150,1239,-0.00241545893719807,-0.00561797752808989,0.0048661800486618,130112
2014-11-30,"Jefferson","LA","New Orleans",151,1354,-0.012399708242159,-0.0251979841612671,0.0383435582822086,120772
2014-11-30,"Knox","TN","Knoxville",152,1129,0.0125560538116592,0.0405529953917051,0.018034265103697,142621
2014-11-30,"Polk","IA","Des Moines",153,1262,-0.00394632991318074,0.0104083266613291,0.0569514237855946,134796
2014-11-30,"Genesee","MI","Flint",154,665,0.0374414976599064,0.047244094488189,-0.0952380952380952,140468
2014-11-30,"Clark","WA","Portland",155,1497,0.0149152542372881,0.0309917355371901,0.0417536534446764,123135
2014-11-30,"Santa Barbara","CA","Santa Barbara",156,2182,0.0101851851851852,0.0711831124202258,0.244013683010262,87956
2014-11-30,"Seminole","FL","Orlando",157,1383,0.00290065264684554,0.00581818181818182,0.0109649122807018,131408
2014-11-30,"Williamson","TX","Austin",158,1618,0.00247831474597274,0.0118824265165729,0.0736562707365627,115392
2014-11-30,"Washoe","NV","Reno",159,1385,0.00435097897026831,0.0036231884057971,0.0351270553064275,125478
2014-11-30,"Monterey","CA","Salinas",160,2023,0.00496770988574267,0.0160723254645907,0.0427835051546392,78650
