"Date","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-11-30,"Saunders","NE","Omaha",952,111700,0,0.00269299820466786,-0.00975177304964539,0.0165472262240414,0.0199253442250293,"2013-08","2013-Q3",118300,-0.0557903634826712,"2013-04"
2014-11-30,"Kewaunee","WI","Green Bay",953,114200,-0.00954032957502168,-0.0264279624893436,-0.00695652173913043,-0.0329109474946452,-0.00104475954353278,"2010-02","2010-Q1",138300,-0.174258857556038,"2008-09"
2014-11-30,"La Paz","AZ",,954,118200,-0.00755667506297229,0.00169491525423729,0.0904059040590406,-0.00235217659588072,0.0192302184606579,"2007-02","2007-Q1",160600,-0.2640099626401,"2005-07"
2014-11-30,"Washington","NE","Omaha",955,152000,0.0126582278481013,0.0461114934618032,0.133482475764355,0.0331977913918731,0.0184529916356886,"2014-11","2014-Q4",152000,0,"2014-11"
2014-11-30,"Kent","MD",,956,222600,0.0018001800180018,0.0169026952946551,0.146831530139104,-0.0116229981885028,0.00911062318700973,"2006-07","2006-Q3",271300,-0.179506081828234,"2005-05"
2014-11-30,"Carroll","IN","Lafayette",957,97100,0.0104058272632674,0.0083073727933541,0.0264270613107822,0.0338784486168764,-0.00645864814198027,"2005-09","2005-Q3",105700,-0.0813623462630085,"2004-03"
2014-11-30,"Orange","IN",,958,83600,0.00360144057623049,0.0232558139534884,-0.0118203309692671,0.0424789650792106,-0.00942109172882288,"2004-12","2004-Q4",92000,-0.091304347826087,"2004-08"
2014-11-30,"Lampasas","TX","Killeen",959,118100,-0.00922818791946309,-0.0351307189542484,0.0269565217391304,-0.0355078627066356,0.00248929064600678,"2009-06","2009-Q2",154100,-0.233614536015574,"2005-02"
2014-11-30,"Smith","TN","Nashville",960,112900,0.00713648528099911,0.0348304307974335,0.199787460148778,0.0151949577555204,0.0240717680444817,"2014-11","2014-Q4",112900,0,"2014-11"
2014-11-30,"Union","TN","Knoxville",961,113900,0.018783542039356,0.0585501858736059,0.13220675944334,0.0237239312082671,0.0162954815342056,"2006-11","2006-Q4",119800,-0.0492487479131886,"2006-06"
2014-11-30,"Dekalb","TN",,962,140500,0.0166425470332851,0.0415122312824314,0.377450980392157,0.0708019578816528,0.0461292106390006,"2014-11","2014-Q4",140500,0,"2014-11"
2014-11-30,"Inyo","CA","Bishop",963,291600,0.0170910359260551,0.0429184549356223,0.0796001480932988,-0.00991744560105923,,"2009-11","2009-Q4",306500,-0.0486133768352365,
2014-11-30,"Humphreys","TN",,964,95700,0.00104602510460251,0.00736842105263158,0.0609756097560976,0.0252057793879139,0.0271646996414181,"2014-11","2014-Q4",95700,0,"2014-11"
2014-11-30,"Schuyler","NY",,965,112800,-0.000885739592559787,0.00714285714285714,-0.00704225352112676,0.0427437636036607,0.0363899898912574,"2014-01","2014-Q1",114800,-0.0174216027874564,"2013-11"
2014-11-30,"Unicoi","TN","Johnson City",966,96200,0.00104058272632674,0.00838574423480084,0.10957324106113,0.00722250092599408,,"2014-11","2014-Q4",96200,0,"2014-11"
2014-11-30,"Mariposa","CA",,967,252200,0.0100120144173008,0.0636862083509068,0.249133234274393,0.0359242982901244,0.00996168508571293,"2007-01","2007-Q1",343500,-0.265793304221252,"2005-05"
2014-11-30,"Johnson","TN",,968,114800,0.019538188277087,0.0619796484736355,0.237068965517241,0.0461869126290468,,"2014-11","2014-Q4",114800,0,"2014-11"
2014-11-30,"Pike","GA","Atlanta",969,162600,-0.00122850122850123,0.0226415094339623,0.142656359803233,0.0122454238448384,0.0126448048362635,"2011-02","2011-Q1",163800,-0.00732600732600733,"2011-01"
