"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Portland, ME","ME",101,1537,0.00326370757180157,0.0233022636484687,0.135994087213599,181138
2014-11-30,"Durham, NC","NC",102,1303,0.00540123456790123,0.00695517774343122,0.0324881141045959,138892
2014-11-30,"Daytona Beach, FL","FL",103,1199,0.000834724540901503,0.00925925925925926,0.0389948006932409,185753
2014-11-30,"Santa Rosa, CA","CA",104,2227,0.00225022502250225,0.0182898948331047,0.134488028527764,130193
2014-11-30,"Winston-Salem, NC","NC",105,1026,0,0.000975609756097561,-0.0153550863723608,152572
2014-11-30,"Lexington, KY","KY",106,1078,0.0256898192197907,0.0610236220472441,0.00465983224603914,137430
2014-11-30,"Spokane, WA","WA",107,1145,-0.0052128583840139,0.0043859649122807,0.0956937799043062,134247
2014-11-30,"Lansing, MI","MI",108,985,0.0112936344969199,0.0112936344969199,0.0800438596491228,128922
2014-11-30,"Fayetteville, AR","AR",109,1106,0.00820419325432999,0.0336448598130841,0.11830131445905,120025
2014-11-30,"Pensacola, FL","FL",110,1075,0.00844277673545966,0.0287081339712919,0.0717846460618146,154160
2014-11-30,"Visalia, CA","CA",111,1115,-0.00268336314847943,0.00541027953110911,0.0145586897179254,103047
2014-11-30,"Springfield, MO","MO",112,805,-0.00371287128712871,-0.00247831474597274,0.0176991150442478,87048
2014-11-30,"York, PA","PA",113,1239,-0.00241545893719807,-0.00561797752808989,0.0048661800486618,130112
2014-11-30,"Corpus Christi, TX","TX",114,1384,-0.0128388017118402,-0.0267229254571027,0.0679012345679012,123413
2014-11-30,"Flint, MI","MI",115,665,0.0374414976599064,0.047244094488189,-0.0952380952380952,140468
2014-11-30,"Reno, NV","NV",116,1384,0.00435413642960813,0.00362581580855693,0.0351533283470456,126578
2014-11-30,"Asheville, NC","NC",117,1145,-0.00261324041811847,-0.0196917808219178,0.0514233241505969,151976
2014-11-30,"Port St. Lucie, FL","FL",118,1356,0.00817843866171004,0.0172543135783946,0.0668764752163651,160178
2014-11-30,"Santa Barbara, CA","CA",119,2182,0.0101851851851852,0.0711831124202258,0.244013683010262,87956
2014-11-30,"Huntsville, AL","AL",120,1078,-0.0146252285191956,-0.0270758122743682,0,107409
2014-11-30,"Fort Wayne, IN","IN",121,1007,0.00800800800800801,0.007,0.0467775467775468,119249
2014-11-30,"Salinas, CA","CA",122,2023,0.00496770988574267,0.0160723254645907,0.0427835051546392,78650
2014-11-30,"Vallejo, CA","CA",123,1734,-0.000576368876080692,0.0099009900990099,0.0547445255474453,115499
2014-11-30,"Mobile, AL","AL",124,896,-0.00333704115684093,-0.00444444444444444,0.020501138952164,131384
2014-11-30,"Reading, PA","PA",125,1235,0.0122950819672131,-0.00563607085346216,-0.00803212851405622,107407
2014-11-30,"Brownsville, TX","TX",126,842,0.01323706377858,-0.00118623962040332,-0.0175029171528588,112313
2014-11-30,"Killeen, TX","TX",127,1003,-0.0118226600985222,-0.0224171539961014,0.0141557128412538,101041
2014-11-30,"Canton, OH","OH",128,948,-0.0125,-0.0385395537525355,-0.00836820083682008,126407
2014-11-30,"Manchester, NH","NH",129,1635,-0.0168370414912808,-0.0156532209512342,0.0289490245437382,89585
2014-11-30,"Shreveport, LA","LA",130,1081,-0.0127853881278539,0.00933706816059757,0.0384245917387128,116315
2014-11-30,"Salem, OR","OR",131,1254,0.0220048899755501,0.0564448188711036,0.100965759438104,92983
2014-11-30,"Beaumont, TX","TX",132,1118,0.0228728270814273,0.0163636363636364,0.139653414882773,118705
2014-11-30,"Anchorage, AK","AK",133,1956,-0.00559227249618709,-0.00102145045965271,0.0224777835859906,85110
2014-11-30,"Davenport, IL","IL",134,1009,0.01001001001001,0.0264496439471007,-0.0279383429672447,129265
2014-11-30,"Peoria, IL","IL",135,1085,-0.0207581227436823,-0.0189873417721519,-0.0127388535031847,130264
2014-11-30,"Montgomery, AL","AL",136,966,-0.0112589559877175,-0.0132788559754852,0.0638766519823789,117609
2014-11-30,"Tallahassee, FL","FL",137,1183,0.000846023688663283,0.00424448217317487,-0.00420875420875421,94106
2014-11-30,"Trenton, NJ","NJ",138,1796,-0.00111234705228031,0.0061624649859944,0.0158371040723982,106878
2014-11-30,"Fayetteville, NC","NC",139,882,-0.00226244343891403,-0.00451467268623025,-0.00898876404494382,101840
2014-11-30,"Hickory, NC","NC",140,957,0,0.00630914826498423,0.0235294117647059,105664
2014-11-30,"Wilmington, NC","NC",141,1231,0.00819000819000819,0.0215767634854772,0.0335852225020991,163850
2014-11-30,"Evansville, IN","IN",142,922,-0.00966702470461869,-0.0107296137339056,0.0489192263936291,108826
2014-11-30,"Eugene, OR","OR",143,1201,0.0238704177323103,0.0498251748251748,0.0425347222222222,81528
2014-11-30,"Rockford, IL","IL",144,1006,0.00099502487562189,-0.0518378887841659,-0.0787545787545788,100890
2014-11-30,"Savannah, GA","GA",145,1229,-0.000813008130081301,0.00162999185004075,0.0284518828451883,98180
