"RegionName","City","State","Metro","CountyName","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"North Point","Saint Louis","MO","St. Louis","Saint Louis City",40,52.381,52.381,46.1538,36,38.4615,44,40,51.8519,62.5,54.5455,50,52.6316,47.3684,32,33.3333,37.931,30,34.4828,31.0345,50,47.8261,28.5714,33.3333,29.4118,21.0526,33.3333,39.1304,34.7826,38.4615,52.1739,61.1111,57.1429,50,30.7692,,,8.3333,7.6923,7.1429,,18.1818,25,,45.4545,33.3333,31.25,12.5,30.7692,,,13.3333,,,
"Pennington-Prospect","Trenton","NJ","Trenton","Mercer",5.2632,5.2632,10.5263,15.7895,26.087,40.9091,40,37.037,37.931,22.5,17.9487,27.5862,27.5862,25.9259,27.7778,21.0526,10.5263,23.8095,27.2727,25,15,15,38.8889,33.3333,40,47.3684,50,44.4444,35,36.3636,29.4118,16.6667,20,23.0769,33.3333,35.7143,33.3333,25,28.5714,7.6923,8.3333,20,33.3333,37.5,38.4615,,,15.3846,23.0769,33.3333,23.5294,23.5294,20,28.5714,36.8421
"West Side","Augusta","GA","Augusta","Richmond",42.2222,51.0638,44.2308,42.5532,32,27.2727,48.0769,42.8571,47.1698,38.7097,17.1429,33.9286,34.4828,39.6552,38.4615,40.9091,30.3571,26.7857,25.8065,26,18.5185,22.9508,24.5902,20,26.6667,29.1667,30.4348,38.2979,38.7755,31.9149,26.4151,20.9302,21.4286,21.0526,34.2105,37.1429,25,32.4324,30.303,27.2727,22.8571,29.4118,34.375,41.3793,21.875,20,14.8936,9.2593,14.0351,16.9811,14.6667,18.4615,19.697,23.0769,19.1176
"East Hampton North","East Hampton","NY","New York","Suffolk",23.5714,25.5474,26.2069,25.8993,27.0073,27.2727,28.2609,26.9504,18.254,16.5517,14.3836,21.5278,24.3243,27.0677,29.2308,30.0752,26.2069,18.8811,15.7895,16.6667,16.6667,25.7813,23.1405,22.4,26.7241,20,16.8067,20.4918,20.3125,15.2047,21.9697,21.2598,20.4724,15.9722,15.2318,19.6078,19.7279,16.6667,21.7391,22.069,27.3333,27.9221,19.2593,20.8696,17.8082,18.9655,23.0088,7.3394,14.1509,21.7742,32.5397,32.7869,29.1971,25,23.5294
"Perry South","Pittsburgh","PA","Pittsburgh","Allegheny",28.7879,31.746,29.6296,32,36.3636,30.1887,25,23.5294,31.5789,31.5789,30.3571,31.8182,26,30.6122,40,38.5965,50,33.3333,25,19.2308,19.6078,26.2295,23.0769,46.5116,46.5116,45.7143,32.3529,32.2581,25.8065,32.3529,36.3636,30,30.7692,25.8065,29.6296,33.3333,42.8571,43.3333,42.8571,36.6667,40,38.4615,39.1304,35,35,36.3636,17.3913,8,26.087,33.3333,32,32.2581,30.5556,37.931,41.6667
"North Shoal Creek","Austin","TX","Austin","Travis",42.8571,46.4286,49.1228,55.102,62.2642,52.8302,62.7451,65.9574,52.2727,40,25,27.2727,35.7143,31.25,44.1176,43.75,34.375,36,44,50,52.1739,55.5556,25,23.8095,22.7273,26.9231,27.5862,46.1538,51.8519,43.75,44.8276,46.4286,47.8261,40.9091,40,33.3333,29.4118,26.087,20,26.3158,38.4615,22.2222,23.0769,27.2727,27.2727,,,,23.0769,15.3846,8.3333,,9.0909,22.2222,17.6471
"Summit Lake","Akron","OH","Akron","Summit",23.0769,25.7143,27.2727,20.9302,16.6667,20,18.9189,31.5789,37.5,23.0769,10.8108,25,24,20,35,25,30.4348,43.4783,33.3333,23.0769,25,14.8148,21.7391,17.3913,20.8333,9.0909,9.5238,15,27.7778,26.3158,25,35.2941,33.3333,28.5714,26.3158,35.2941,25,23.0769,17.3913,33.3333,33.3333,28.5714,31.5789,27.7778,31.5789,50,47.3684,16.6667,22.7273,28.5714,30,30.7692,16,36.8421,53.3333
"Seven Oaks","Bakersfield","CA","Bakersfield","Kern",39.2157,46.5517,46.5517,45.7627,38.8889,38.4615,34.7826,25.4902,22.9167,30.4348,30.1887,25.8621,27.1186,32.0755,35.1852,27.451,32.6087,33.3333,35.8974,26.6667,29.6296,28.5714,22.2222,21.875,40,48.1481,46.1538,44,31.8182,17.2414,17.2414,18.5185,21.875,26.6667,20.6897,11.5385,29.1667,22.2222,24.1379,38.7097,42.4242,51.7241,43.75,60.8696,47.8261,50,52,13.3333,31.25,46.875,55.8824,52.6316,59.4595,52.9412,38.2353
"Casablanca","Riverside","CA","Riverside","Riverside",29.6296,33.3333,36.6667,43.75,31.25,28.125,25.7143,29.4118,30.5556,35,36.5854,48.5714,42.1053,36.8421,33.3333,23.0769,33.3333,42.3077,47.8261,50,41.1765,31.5789,20,20,10,10.5263,12.5,5.8824,6.25,11.1111,21.0526,20,20,14.2857,11.7647,13.3333,,,,,,,18.1818,21.4286,33.3333,50,41.6667,,,36.3636,,41.6667,38.4615,,38.4615
"Terra Nova","Chula Vista","CA","San Diego","San Diego",,,27.7778,25,18.1818,15.7895,18.75,25,17.6471,18.75,11.4286,13.6364,20,33.3333,35.2941,20,27.7778,25,36.3636,,,,25,23.0769,23.5294,11.1111,5.5556,10,5.5556,11.1111,,,,,8.3333,8.3333,,18.1818,23.0769,,,,,,,,15.3846,7.6923,15.3846,,16.6667,16.6667,,21.4286,45.4545
