"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","SaleToListPrice","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Neighborhood","Enterprise","NV","Las Vegas-Paradise, NV",182,27,0.9844,33.5758,90.5,6.55172413793103,1.45569620253165
"Neighborhood","Charleston Heights","NV","Las Vegas-Paradise, NV",828,27,0.9958,27.8912,84.5,1.03448275862069,1.45569620253165
"Neighborhood","Sheep Mountain","NV","Las Vegas-Paradise, NV",1807,27,0.9933,38.4892,120.5,8.27586206896552,1.45569620253165
"Neighborhood","Green Valley South","NV","Las Vegas-Paradise, NV",1649,27,0.9831,34.5833,91,7.24137931034483,1.45569620253165
"Neighborhood","West Las Vegas","NV","Las Vegas-Paradise, NV",1669,27,1,25.1613,87.5,0.689655172413793,1.45569620253165
"Neighborhood","Whitney","NV","Las Vegas-Paradise, NV",916,27,0.9938,31.1579,87.5,2.06896551724138,1.45569620253165
"Neighborhood","Encino","CA","Los Angeles-Long Beach-Santa Ana, CA",517,2,0.9775,30.1402,65,7.23076923076923,0.886075949367089
"Neighborhood","Hollywood Hills","CA","Los Angeles-Long Beach-Santa Ana, CA",983,2,0.9772,31.686,82,9.69230769230769,0.886075949367089
"Neighborhood","The Plaza","CA","Los Angeles-Long Beach-Santa Ana, CA",1950,2,0.9903,34.0659,55,3.84615384615385,0.886075949367089
"Neighborhood","Canoga Park","CA","Los Angeles-Long Beach-Santa Ana, CA",312,2,0.9929,28.3784,61,2,0.886075949367089
"Neighborhood","San Pedro","CA","Los Angeles-Long Beach-Santa Ana, CA",339,2,0.9924,36.1868,71.5,6.92307692307692,0.886075949367089
"Neighborhood","Anaheim Hills","CA","Los Angeles-Long Beach-Santa Ana, CA",742,2,0.9781,29.5374,72,8.30769230769231,0.886075949367089
"Neighborhood","West Side","CA","Los Angeles-Long Beach-Santa Ana, CA",1098,2,0.9992,21.6667,65.5,1.23076923076923,0.886075949367089
"Neighborhood","Hollywood","CA","Los Angeles-Long Beach-Santa Ana, CA",117,2,0.9914,28,78.5,6.30769230769231,0.886075949367089
"Neighborhood","Mid City West","CA","Los Angeles-Long Beach-Santa Ana, CA",659,2,0.9761,30.5785,60,6.61538461538461,0.886075949367089
