"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Neighborhood","Galt Mile","Fort Lauderdale","FL","Miami-Fort Lauderdale, FL","Miami-Fort Lauderdale-Pompano Beach, FL",,7.1749669457911,85.0741,,,407300,1.14228954556742,7.3537163943068,-0.00927817333660697,42.9,,,145
"Neighborhood","Gandy-Sun Bay South","Tampa","FL","Tampa, FL","Tampa-St. Petersburg-Clearwater, FL",,2.13309828118114,73.3587,,,145800,0.899653979238754,5.11896178803172,0.0127914951989025,124.4,,,83
"Neighborhood","Gardiner Lane","Louisville","KY","Louisville/Jefferson County, KY","Louisville/Jefferson County, KY-IN",,5.62362274129573,,,,222200,0.452079566003617,0.497512437810945,0.0177227722772277,15.4,,,93
"Neighborhood","Garfield","Pittsburgh","PA","Pittsburgh, PA","Pittsburgh, PA",,7.60026443367122,,,,70200,0.573065902578797,7.17557251908397,0.0346011396011396,25.2,,,98
"Neighborhood","Garland","Mobile","AL","Mobile, AL","Mobile, AL",,5.79770824151609,,,21.0506,141500,0.354609929078014,10.3744149765991,0.0284805653710247,80.1,,,126
"Neighborhood","Gateway - Green Valley Ranch","Denver","CO","Denver, CO","Denver-Aurora, CO",,8.0123402379903,95.8991,10.8433,3.2745,211500,1.09942638623327,17.5,0.0716075650118204,108.5,,,53
"Neighborhood","Georgia Avenue","Mobile","AL","Mobile, AL","Mobile, AL",,0.330542089026003,,,38.8889,93400,-1.3727560718057,-15.0909090909091,-0.0394646680942184,104.6,,,126
"Neighborhood","Germantown","Philadelphia","PA","Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,5.97620096959013,90.8517,24.9608,21.1628,126700,2.50809061488673,18.0801491146319,0.0308366219415943,106,,,109
"Neighborhood","Germantown","Louisville","KY","Louisville/Jefferson County, KY","Louisville/Jefferson County, KY-IN",,8.69766416923755,90.9091,,,103400,0.0968054211035818,7.03933747412008,0.0424468085106382,11.3,,,93
"Neighborhood","Gibson Springs","Henderson","NV","Las Vegas, NV","Las Vegas-Paradise, NV",,8.54120758043191,86.8956,11.5714,4.0917,196400,0.873138161273754,14.585764294049,0.0574287169042771,69.2,,,100.5
"Neighborhood","Glacier View","Everett","WA","Seattle, WA","Seattle-Tacoma-Bellevue, WA",,6.38827677390921,,,6.9348,241800,0.791996665277199,5.68181818181818,0.0536228287841192,60,,,73
"Neighborhood","Glassell Park","Los Angeles","CA","Los Angeles, CA","Los Angeles-Long Beach-Santa Ana, CA",,7.5605993829881,93.0632,4.8485,,577400,0.961706592061549,7.78420757886877,0.0242674056113612,77.5,,,73
"Neighborhood","Glen Eden","Hayward","CA","San Francisco, CA","San Francisco-Oakland-Fremont, CA",,6.53591890700749,,,,440800,0.318616294947656,11.2569409389197,0.0488793103448275,39.5,,,62
"Neighborhood","Glen Highlands","Oakland","CA","San Francisco, CA","San Francisco-Oakland-Fremont, CA",,0.570736007051565,,,,1112300,-0.125707102451288,-1.55765996990884,-0.000228355659444346,27.2,,,48
"Neighborhood","Glen","Baltimore","MD","Baltimore, MD","Baltimore-Towson, MD",,5.440722785368,,,6.2194,140200,0.573888091822095,6.77837014470678,0.017753209700428,75.4,,,116
"Neighborhood","Glenoake Canyon","Glendale","CA","Los Angeles, CA","Los Angeles-Long Beach-Santa Ana, CA",,7.43499338915822,,,,816900,1.28952262864228,7.88431061806656,0.0274035989717223,41.9,,,63
"Neighborhood","Glenview","Oakland","CA","San Francisco, CA","San Francisco-Oakland-Fremont, CA",,1.30894667254297,,,,726000,0.165562913907285,0.0551267916207277,0.0103030303030303,20.1,,,48
"Neighborhood","Glenwood","Glendale","CA","Los Angeles, CA","Los Angeles-Long Beach-Santa Ana, CA",,5.52005288673424,,,,753100,0.789614561027837,7.73962804005722,0.0217102642411366,50,,,63
"Neighborhood","Golden Glades - The Woods","Jacksonville","FL","Jacksonville, FL","Jacksonville, FL",,1.91934773027766,,,,211800,0.189214758751183,7.89607743250127,0.0195420207743153,85.1,,,79.5
"Neighborhood","Oak Knoll-Golf Links","Oakland","CA","San Francisco, CA","San Francisco-Oakland-Fremont, CA",,7.88453063023358,,,,482000,0.563321510536199,27.2439281942978,0.0733983402489626,48.5,,,48
"Neighborhood","Golf View","Tampa","FL","Tampa, FL","Tampa-St. Petersburg-Clearwater, FL",,3.40237990304099,,,,756900,0.4778972520908,3.48646431501231,-0.00476152728233581,68.8,,,96.5
"Neighborhood","Gorgas","Mobile","AL","Mobile, AL","Mobile, AL",,3.84310268840899,,,6.4928,41700,-0.714285714285714,-0.714285714285714,0.0235731414868106,59.3,,,126
"Neighborhood","Goshen","Augusta","GA","Augusta, GA","Augusta-Richmond County, GA-SC",,1.77831643895989,,,,112500,0.178094390026714,1.90217391304348,0.0274044444444443,80.9,,,107.5
"Neighborhood","Governor's Square","Charlotte","NC","Charlotte, NC","Charlotte-Gastonia-Concord, NC-SC",,9.86337593653592,,,,369600,0.763358778625954,15.5361050328228,0.0481899350649351,8,,,89
"Neighborhood","Grand Lake","Oakland","CA","San Francisco, CA","San Francisco-Oakland-Fremont, CA",,8.84310268840899,,,,409100,1.28744738796732,23.3343382574616,0.0736470300659986,56.9,,,48
"Neighborhood","Grandview","Glendale","CA","Los Angeles, CA","Los Angeles-Long Beach-Santa Ana, CA",,5.88585279858969,,,,591300,0.852805730854511,8.55516798237562,0.0197497040419414,45.3,,,63
"Neighborhood","Great Bridge East","Chesapeake","VA","Virginia Beach, VA","Virginia Beach-Norfolk-Newport News, VA-NC",,2.8580872631115,73.0972,,,307400,0.293637846655791,4.09752793769048,0.0180741704619389,2.7,,,87
"Neighborhood","Greater Eastside","Saint Paul","MN","Minneapolis-St Paul, MN","Minneapolis-St. Paul-Bloomington, MN-WI",,3.65579550462759,75.171,19.513,5.2961,134000,0.827689992475546,4.60577673692428,0.020089552238806,124.2,,,104
"Neighborhood","Mount Washington","Baltimore","MD","Baltimore, MD","Baltimore-Towson, MD",,4.68488320846188,,,15.2616,304100,0.23071852340145,9.03549659376121,0.0076915488326208,22.4,,,116
"Neighborhood","Rosemont","Baltimore","MD","Baltimore, MD","Baltimore-Towson, MD",,0.143234905244601,,,21.767,60200,-1.31147540983607,-7.38461538461539,-0.0147009966777408,126.1,,,116
"Neighborhood","Greater South","Lincoln","NE","Lincoln, NE","Lincoln, NE",,6.37946231820185,,,,139900,0.575125808770669,4.55904334828102,0.030614724803431,28.2,,,78
"Neighborhood","Greater Wythe","Hampton","VA","Virginia Beach, VA","Virginia Beach-Norfolk-Newport News, VA-NC",,3.41339797267519,58.0715,,,126900,0.23696682464455,6.63865546218487,0.0242316784869976,5.3,,,104
"Neighborhood","Green Valley North","Henderson","NV","Las Vegas, NV","Las Vegas-Paradise, NV",,6.65711767298369,79.0697,7.8062,6.4274,213500,0.423330197554092,11.8386589837611,0.0596299765807962,77.6,,,100.5
"Neighborhood","Green Valley Ranch","Henderson","NV","Las Vegas, NV","Las Vegas-Paradise, NV",,7.19039224327898,86.9901,16.3389,5.8096,294000,0.753941055517478,10.4018024784078,0.0538401360544218,75.9,,,100.5
"Neighborhood","Green Valley South","Henderson","NV","Las Vegas, NV","Las Vegas-Paradise, NV",,8.32966064345527,81.3032,7.3376,4.7372,220400,0.869565217391304,12.4489795918367,0.0596052631578947,70.7,,,100.5
"Neighborhood","Greenbriar","Glendale","CA","Los Angeles, CA","Los Angeles-Long Beach-Santa Ana, CA",,8.62714852357867,,,,1144600,0.836930666901594,13.947237431558,0.0323947230473527,29.6,,,63
"Neighborhood","Greenbrier East","Chesapeake","VA","Virginia Beach, VA","Virginia Beach-Norfolk-Newport News, VA-NC",,3.49713530189511,75.9266,,,250100,0.120096076861489,4.03494176372712,0.0193522590963615,4,,,102.5
"Neighborhood","Greenway","Beaverton","OR","Portland, OR","Portland-Vancouver-Beaverton, OR-WA",,6.61965623622741,,,5.1283,276900,0.289750090546903,3.66903781355298,0.0373058866016613,19.4,,,64
"Neighborhood","Greenwich Hills","Mobile","AL","Mobile, AL","Mobile, AL",,1.56456588805641,,,,67400,-0.589970501474926,-1.74927113702624,0.0158902077151335,102.5,,,126
"Neighborhood","Greenwood","New York","NY","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,4.49757602468048,,,,773100,-0.0387897595034911,5.73030634573304,0.0217436295433968,22.5,,,157
"Neighborhood","Grier Heights","Charlotte","NC","Charlotte, NC","Charlotte-Gastonia-Concord, NC-SC",,0.0925517849272807,,,,71400,-0.970873786407767,-7.87096774193548,-0.0204201680672269,127.8,,,89
"Neighborhood","Griers Fork","Charlotte","NC","Charlotte, NC","Charlotte-Gastonia-Concord, NC-SC",,5.50462758924636,,,,130400,0.384911470361817,7.23684210526316,0.0273696319018404,53.9,,,89
"Neighborhood","Hackensack Riverfront","Jersey City","NJ","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,2.32701630674306,,,,288100,0.278454577097111,0.139033715676051,-0.00228045817424505,12.9,,,134.5
"Neighborhood","Haddington-Carroll Park","Philadelphia","PA","Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,0.464962538563244,86.473,33.413,19.4903,51600,-0.578034682080925,-3.18949343339587,-0.00594961240310077,120.2,,,109
"Neighborhood","Hayden Island","Portland","OR","Portland, OR","Portland-Vancouver-Beaverton, OR-WA",,7.73468488320846,,,,189800,1.71489817792069,2.26293103448276,0.0292044257112751,19.9,,,62
"Neighborhood","Hadley - Washngton","Nashville","TN","Nashville, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",,2.98589687086822,,,27.7248,76900,0.786369593709043,4.0595399188092,0.0134330299089727,23.4,,,72
"Neighborhood","Haggin Oaks","Bakersfield","CA","Bakersfield, CA","Bakersfield, CA",,1.18113706478625,,,,362400,-0.165289256198347,-4.88188976377953,0.0180104856512142,22.6,,,67
"Neighborhood","Hampden","Baltimore","MD","Baltimore, MD","Baltimore-Towson, MD",,5.58175407668576,83.3333,10.25,4.6044,200800,0.049825610363727,9.01194353963084,0.0330577689243028,60.8,,,116
"Neighborhood","Hannon Park","Mobile","AL","Mobile, AL","Mobile, AL",,5.74261789334509,,,,148700,0.60893098782138,2.7643400138217,0.021486213853396,76.1,,,126
"Neighborhood","Harbor Gateway","Los Angeles","CA","Los Angeles, CA","Los Angeles-Long Beach-Santa Ana, CA",,6.9105332745703,,,3.741,409800,0.638506876227898,7.70039421813403,0.0245290385553929,55.7,,,73
"Neighborhood","Harborview-Seahurst-Glenhaven","Everett","WA","Seattle, WA","Seattle-Tacoma-Bellevue, WA",,5.330542089026,,,4.8188,320500,0.407268170426065,4.09223773952582,0.0470546021840874,50.7,,,73
"Neighborhood","Harbour Island","Tampa","FL","Tampa, FL","Tampa-St. Petersburg-Clearwater, FL",,2.5495813133539,67.5267,,,265300,0.454373343430519,4.90312376433373,0.0113267998492272,100.9,,,96.5
"Neighborhood","Harder-Tennyson","Hayward","CA","San Francisco, CA","San Francisco-Oakland-Fremont, CA",,8.21947994711327,,,,421500,0.765001195314368,14.413680781759,0.0464555160142348,43.4,,,62
"Neighborhood","Harpeth Valley Park","Nashville","TN","Nashville, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",,5.57073600705156,,,,196000,0.874935666495111,7.22100656455142,0.0206938775510204,35.5,,,72
"Neighborhood","Harris-Houston","Charlotte","NC","Charlotte, NC","Charlotte-Gastonia-Concord, NC-SC",,5.16306743058616,,,4.1623,125300,-0.238853503184713,8.39100346020761,0.0336791699920191,75.2,,,89
"Neighborhood","Harrisburg","Augusta","GA","Augusta, GA","Augusta-Richmond County, GA-SC",,0.694138386954606,,,,41200,-0.72289156626506,-13.9874739039666,0.0304368932038834,84.6,,,107.5
"Neighborhood","Harrison East-South","Tucson","AZ","Tucson, AZ","Tucson, AZ",,3.81665932128691,,,14.7917,156800,0.127713920817369,1.68612191958495,0.028201530612245,57.5,,,85
"Neighborhood","Harrison West","Columbus","OH","Columbus, OH","Columbus, OH",,0.848391361833407,,,,132100,0.609291698400609,-15.4289372599232,-0.0431566994700984,49.6,,,76
"Neighborhood","Hartley","Lincoln","NE","Lincoln, NE","Lincoln, NE",,0.669898633759365,,,,80500,0.124378109452736,-4.62085308056872,-0.000385093167701855,65.2,,,78
"Neighborhood","Hawthorne","Louisville","KY","Louisville/Jefferson County, KY","Louisville/Jefferson County, KY-IN",,4.01498457470251,,,,152900,0.0654450261780105,-2.48724489795918,0.0166710268149117,7.8,,,93
"Neighborhood","Hayfield Dundee","Louisville","KY","Louisville/Jefferson County, KY","Louisville/Jefferson County, KY-IN",,3.95548699867783,,,,195200,-0.0512032770097286,-2.3023023023023,0.0161577868852458,1.8,,,93
"Neighborhood","Haynes Area","Nashville","TN","Nashville, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",,2.05156456588806,,,,90100,1.00896860986547,0,0.00670366259711441,56.6,,,72
"Neighborhood","Hayward Highland","Hayward","CA","San Francisco, CA","San Francisco-Oakland-Fremont, CA",,8.04980167474658,,,3.3997,675200,0.670940808110929,10.9978628965971,0.0330065165876776,34.1,,,62
"Neighborhood","Hector Campbell","Milwaukie","OR","Portland, OR","Portland-Vancouver-Beaverton, OR-WA",,5.41207580431908,,,11.3218,234400,0.428449014567267,12.9094412331407,0.0454820819112629,53.4,,,56
"Neighborhood","Hedrick Acres","Tucson","AZ","Tucson, AZ","Tucson, AZ",,1.45218157778757,,,41.0557,107600,0.560747663551402,-4.18521816562778,0.00977695167286252,117.5,,,85
"Neighborhood","Heights","Little Rock","AR","Little Rock, AR","Little Rock-North Little Rock-Conway, AR",,8.40458351696783,85.2564,10.3247,,411600,0.439238653001464,7.55160700287431,0.0469655004859086,32.2,,,106
"Neighborhood","Hembstead","Charlotte","NC","Charlotte, NC","Charlotte-Gastonia-Concord, NC-SC",,4.87659762009696,,,,520700,0.366229760986893,5.08577194752775,0.0188477050124831,34.7,,,89
"Neighborhood","Hermosa","Chicago","IL","Chicago, IL","Chicago-Naperville-Joliet, IL-IN-WI",,7.43719700308506,,,,177600,1.71821305841924,6.98795180722892,0.0285472972972973,101.7,,,113
"Neighborhood","Heron Walk","Nashville","TN","Nashville, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",,2.0207139709123,,19.0385,7.3959,118300,0.680851063829787,4.32098765432099,0.0119864750633982,76.1,,,72
"Neighborhood","Hickory Hill","Richmond","VA","Richmond, VA","Richmond, VA",,7.59144997796386,,,,77900,0.38659793814433,7.44827586206896,0.0134659820282412,6.8,,,90
"Neighborhood","Hickory Ridge-South Riverdale","Memphis","TN","Memphis, TN","Memphis, TN-MS-AR",,1.06654914059057,70.9199,29.4267,18.0655,81900,-0.121951219512195,5.54123711340206,0.0472771672771672,134.7,,,94.5
