"RegionName","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"New Hampshire",426,548,548,573,558,697,875,1006,1037,947,1360,1564,1635,1643,1304,1074,976,1064,1317,1503,1561,1584,1526,1503,1528,1434,1345,1389,1553,1656,2483,2852,2855,2673,2459,2385,2364,1311,1936,1799,2206,1772,1812,1578,1691,2054,1583,1744,1550,1336,1604,1378,1354,1419,1426,1465,1523,1450
"Rhode Island",18,20,25,28,25,64,293,328,931,1072,1845,2303,2803,2334,1462,1322,1097,1189,1528,1745,1718,1947,1911,2129,2317,2506,2241,2050,2110,2208,2894,3242,3893,3598,4856,5105,5087,4152,4382,4195,4211,4087,2299,1971,2084,2897,1987,2423,2495,2092,2752,2435,2394,2614,2630,2691,2696,2633
"Montana",,,,,20,19,40,39,38,38,94,129,142,149,105,115,110,114,127,242,251,248,248,322,334,365,412,492,547,643,598,427,415,350,505,573,497,499,628,782,1353,865,837,608,585,558,530,612,837,888,1140,1085,1080,1229,1078,893,899,926
"Delaware",136,185,224,195,163,176,576,576,534,537,660,768,845,844,362,381,386,450,430,446,506,499,474,519,544,554,510,536,598,610,679,752,1010,991,1127,1234,1232,788,1040,764,750,748,684,612,660,746,680,725,831,747,848,775,772,853,897,880,941,895
"South Dakota",,,,,,,176,176,186,165,196,208,203,204,61,74,49,82,97,121,113,144,127,141,199,196,175,156,145,142,133,128,179,176,186,232,147,92,113,151,139,168,167,111,129,231,148,150,196,175,177,140,144,149,173,215,261,348
"Alaska",,,,,,,32,33,33,33,96,135,215,246,220,214,217,274,325,380,585,588,471,431,425,415,375,394,477,492,478,448,419,386,528,917,550,361,505,529,675,649,681,591,676,819,676,705,749,666,655,673,608,673,842,840,845,733
"North Dakota",,,,,,,30,31,31,31,63,90,98,101,33,35,22,43,40,51,143,216,199,220,292,304,238,196,225,223,236,231,209,205,375,557,283,184,403,339,357,382,295,199,219,244,245,227,255,268,365,247,282,351,396,351,459,490
"Vermont",29,30,27,31,33,44,72,90,95,91,108,113,131,121,95,84,83,122,164,163,190,175,165,145,132,143,116,120,131,145,160,199,239,227,257,234,170,138,153,137,149,208,207,204,242,268,246,257,230,211,212,183,168,221,238,272,344,329
"District of Columbia",210,278,293,300,291,378,1159,1230,1258,1219,1467,1638,1636,1645,659,726,665,849,1316,1395,1605,1761,1741,2264,2695,3146,3238,3601,3556,3364,3526,3583,4119,5025,5382,5814,4953,2141,3338,4043,4386,3632,2898,1994,2289,3022,2516,2664,3003,2972,4586,3827,3763,4712,5472,4061,4075,3840
"Wyoming",,,,,,,27,27,31,32,47,52,66,67,19,21,13,42,66,62,42,55,31,45,60,102,92,92,106,91,149,148,189,204,263,311,197,156,201,217,248,303,313,230,247,246,260,283,284,337,378,420,248,288,332,346,377,325
