"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-11-30,"Coldstream","KY","Louisville/Jefferson County","Jefferson",9243,148200,-0.00202020202020202,-0.000674308833445718,0.024896265560166,0.00986713308713094,0.0102740761005125,"2014-10","2014-Q4",148500,-0.00202020202020202,"2014-08"
2014-11-30,"Rosendale","WI","Fond du Lac","Fond du Lac",9244,141600,0,-0.0028169014084507,0.0784463061690785,0.0042920032766236,0.00889466424664498,"2014-08","2014-Q3",142000,-0.0028169014084507,"2014-08"
2014-11-30,"Lake Placid","NY",,"Essex",9245,187200,-0.0224543080939948,-0.0607124937280482,-0.0991337824831569,-0.0140266385756629,,"2012-04","2012-Q2",211800,-0.11614730878187,"2009-02"
2014-11-30,"Hopwood","PA","Pittsburgh","Fayette",9246,121100,0.00331400165700083,-0.000825082508250825,-0.0457052797478329,0.0477679438267835,0.0386254526731427,"2013-11","2013-Q4",126900,-0.0457052797478329,"2013-05"
2014-11-30,"Overgaard","AZ","Show Low","Navajo",9247,190300,-0.0295767465578786,-0.0398587285570131,0.0560488346281909,0.00031559021644112,0.0122409166364703,"2007-09","2007-Q3",242900,-0.216550020584603,"2005-11"
2014-11-30,"Calabash","NC","Wilmington","Brunswick",9248,81200,0.00246913580246914,-0.00854700854700855,0.0330788804071247,-0.064453832782737,-0.00266973611866772,"2007-09","2007-Q3",125400,-0.352472089314195,"2004-10"
2014-11-30,"New Ellenton","SC","Augusta","Aiken",9249,62100,0.00323101777059774,-0.00956937799043062,-0.148148148148148,0.0141042604826644,,"2014-01","2014-Q1",76100,-0.183968462549277,"2012-04"
2014-11-30,"Allardt","TN",,"Fentress",9250,127500,0.003147128245476,0.0119047619047619,0.422991071428571,0.0738206347007957,0.0561981009630952,"2014-11","2014-Q4",127500,0,"2014-11"
2014-11-30,"Tallassee","TN","Knoxville","Blount",9251,71700,0,-0.0515873015873016,-0.044,-0.00683124077895714,0.0179742453431893,"2008-06","2008-Q2",78300,-0.0842911877394636,"2007-09"
2014-11-30,"Monson","MA","Springfield","Hampden",9252,176800,0.00226757369614512,0.00568828213879408,0.0126002290950745,-0.00686969554275263,-0.00425395750822499,"2006-09","2006-Q3",201000,-0.120398009950249,"2004-07"
2014-11-30,"Green Forest","AR",,"Carroll",9253,64800,0.00934579439252336,0.00154559505409583,-0.00917431192660551,-0.00516587957329662,0.00329984812297113,"2008-03","2008-Q1",89000,-0.271910112359551,"2007-03"
2014-11-30,"Northfield","KY","Louisville/Jefferson County","Jefferson",9254,320200,0.0097760958688111,0.0158629441624365,0.000937793060331353,0.0176354877570708,0.0186031528834749,"2014-02","2014-Q1",321800,-0.00497203231821007,"2013-12"
2014-11-30,"Welaka","FL","Palatka","Putnam",9255,125500,0.000797448165869219,-0.0110323089046493,-0.0360983102918587,-0.0294077151860828,-0.0137935319227652,"2008-06","2008-Q2",237700,-0.472023559108119,
2014-11-30,"Wickerham Manor-Fisher","PA","Pittsburgh","Washington",9256,133600,0.00225056264066016,0.0206264323911383,0.0748189863234111,0.0426905444284387,0.0220690038053417,"2014-11","2014-Q4",133600,0,"2014-11"
2014-11-30,"Fincastle","KY","Louisville/Jefferson County","Jefferson",9257,139800,0.00503235082674335,0.0101156069364162,-0.00710227272727273,0.0073107200436191,0.00492329020117732,"2013-10","2013-Q4",141600,-0.0127118644067797,"2013-08"
2014-11-30,"Eagle","CO","Edwards","Eagle",9258,403200,0.00348432055749129,0.0215353432987079,0.12720156555773,-0.00406696806588913,0.0053895076541941,"2008-04","2008-Q2",541500,-0.255401662049861,"2005-04"
2014-11-30,"Mounds","OK","Tulsa","Creek",9259,64600,0,0.0046656298600311,-0.061046511627907,0.0115341201873684,0.0235198169481921,"2013-02","2013-Q1",73700,-0.123473541383989,"2011-12"
2014-11-30,"New Castle","NH","Boston","Rockingham",9260,1116500,0.0055840763757543,0.0262891809908999,0.0814606741573034,0.0415668307198513,0.0104761668306828,"2014-11","2014-Q4",1116500,0,"2014-11"
2014-11-30,"South Beach","OR",,"Lincoln",9261,218500,-0.00182731841023298,-0.00228310502283105,0.0191231343283582,-0.0288182284285319,,"2007-01","2007-Q1",280500,-0.221033868092692,"2005-08"
2014-11-30,"Hampshire","TN","Columbia","Maury",9262,134700,0.00672645739910314,0.0531665363565285,0.236914600550964,0.0342965278019765,0.0473628715834922,"2014-11","2014-Q4",134700,0,"2014-11"
2014-11-30,"Kure Beach","NC","Wilmington","New Hanover",9263,334300,0.00239880059970015,0.0108859993952223,0.0286153846153846,-0.0101529153918885,0.0128254635410405,"2006-06","2006-Q2",480100,-0.303686731930848,"2005-03"
2014-11-30,"Bent Mountain","VA","Roanoke","Roanoke",9264,161400,-0.00123762376237624,0.0112781954887218,0.167028199566161,0.0203981150942718,0.0347466076018448,"2014-10","2014-Q4",161600,-0.00123762376237624,"2014-10"
2014-11-30,"Wyoming","DE","Dover","Kent",9265,144500,0.00696864111498258,0.0154602951510892,0.0807778608825729,-0.0170816163870348,0.00742223756490556,"2006-11","2006-Q4",173100,-0.165222414789139,"2005-06"
2014-11-30,"Big Coppitt Key","FL","Key West","Monroe",9266,403300,0.0110303334168965,0.0241239207719655,0.0974149659863946,0.0482780450585205,-0.0306531541492604,"2005-08","2005-Q3",674300,-0.40189826486727,"2004-01"
